# Restoration Copilot KB seed — 1960s-70s American vintage vehicles.
# Schema + per-category minimums: spec B13 §5. Validated by scripts/seed_restoration_kb.py and scripts/validate_kb_seed.py.
part_id,name,oem_number,aftermarket_alternatives,category,criticality,reference_dimensions_length_mm,reference_dimensions_width_mm,reference_dimensions_height_mm,indicative_price_min_usd,indicative_price_max_usd,indicative_price_mid_usd,interchange
chevy_camaro_1967_brake_front_brake_caliper_a,Front Brake Caliper,5460007,PBR-7606;A1-Cardone-31487,brake,critical,180,95,120,51,205,128,1966-1968 Camaro;1968 Chevrolet Camaro
ford_mustang_1965_suspension_front_coil_spring_a,Front Coil Spring,5460014,PBR-5064;A1-Cardone-20365,suspension,standard,380,150,150,43,150,96,1964-1966 Mustang;1969 Chevrolet Camaro
dodge_charger_1968_engine_water_pump_a,Water Pump,5460021,PBR-7062;A1-Cardone-72729,engine,critical,220,180,150,39,145,92,1967-1969 Charger;1972 Chevrolet Nova
chevy_chevelle_1966_body_front_fender_a,Front Fender,5460028,PBR-3862;A1-Cardone-42983,body,optional,1400,500,800,161,749,455,1965-1967 Chevelle;1968 Dodge Charger
chevy_nova_1968_interior_front_bucket_seat_a,Front Bucket Seat,5460035,PBR-4106;A1-Cardone-83600,interior,optional,650,600,900,166,785,476,1967-1969 Nova;1967 Ford Mustang
chevy_c10_1967_electrical_alternator_a,Alternator,5460042,PBR-4505;A1-Cardone-35474,electrical,standard,200,180,180,55,233,144,1966-1968 C10;1970 Chevrolet Chevelle
chevy_camaro_1967_exhaust_exhaust_manifold_a,Exhaust Manifold,5460049,PBR-2343;A1-Cardone-24565,exhaust,standard,450,200,150,51,246,148,1966-1968 Camaro;1969 Dodge Charger
ford_mustang_1965_fuel_fuel_tank_a,Fuel Tank,5460056,PBR-2445;A1-Cardone-17116,fuel,critical,900,600,300,98,412,255,1964-1966 Mustang;1967 Chevrolet C10
dodge_charger_1968_cooling_radiator_a,Radiator,5460063,PBR-7959;A1-Cardone-87874,cooling,standard,650,400,100,126,515,320,1967-1969 Charger;1969 Chevrolet Camaro
chevy_chevelle_1966_transmission_transmission_oil_pan_a,Transmission Oil Pan,5460070,PBR-1545;A1-Cardone-89197,transmission,standard,400,350,100,27,118,72,1965-1967 Chevelle;1966 Ford Mustang
chevy_nova_1970_brake_rear_brake_caliper_a,Rear Brake Caliper,5460077,PBR-1617;A1-Cardone-95144,brake,critical,175,90,115,43,182,112,1969-1971 Nova;1968 Chevrolet Camaro
chevy_c10_1969_suspension_rear_leaf_spring_a,Rear Leaf Spring,5460084,PBR-4912;A1-Cardone-54262,suspension,standard,1350,65,120,74,252,163,1968-1970 C10;1967 Chevrolet Camaro
chevy_camaro_1968_engine_oil_pump_a,Oil Pump,5460091,PBR-6071;A1-Cardone-21354,engine,critical,150,120,100,27,101,64,1967-1969 Camaro;1969 Chevrolet Camaro
ford_mustang_1966_body_hood_a,Hood,5460098,PBR-4079;A1-Cardone-60194,body,optional,1500,1300,80,189,838,514,1965-1967 Mustang;1966 Ford Mustang
dodge_charger_1969_interior_rear_bench_seat_a,Rear Bench Seat,5460105,PBR-4439;A1-Cardone-38567,interior,optional,1400,600,700,144,671,408,1968-1970 Charger;1970 Chevrolet Nova
chevy_chevelle_1968_electrical_starter_motor_a,Starter Motor,5460112,PBR-6394;A1-Cardone-19365,electrical,standard,280,150,150,62,259,160,1967-1969 Chevelle;1966 Ford Mustang
chevy_nova_1970_exhaust_muffler_a,Muffler,5460119,PBR-3214;A1-Cardone-91449,exhaust,standard,600,250,180,36,153,94,1969-1971 Nova;1968 Ford Mustang
chevy_c10_1969_fuel_fuel_tank_sending_unit_a,Fuel Tank Sending Unit,5460126,PBR-2756;A1-Cardone-89579,fuel,critical,150,100,300,19,80,50,1968-1970 C10;1970 Dodge Charger
